Category,category,FDR,inputGenes
Chloroplast,COMPARTMENTS,4.24e-86,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25857', '3702.P26289', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P49107', '3702.P50318', '3702.P56751', '3702.P56752', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q2V2S7', '3702.Q2V4B2', '3702.Q37165', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q43349', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RXS1', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9FG67', '3702.Q9FG89', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LU21', '3702.Q9LVM2', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XI73', '3702.Q9ZR03']"
Plastid,COMPARTMENTS,4.81e-82,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25857', '3702.P26289', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P49107', '3702.P50318', '3702.P56751', '3702.P56752', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q2V2S7', '3702.Q2V4B2', '3702.Q37165', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q43349', '3702.Q8L9E3', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RXS1', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9FG67', '3702.Q9FG89', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LU21', '3702.Q9LVM2', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XI73', '3702.Q9ZR03']"
Organelle envelope,COMPARTMENTS,1.61e-79,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CC32', '3702.P0CC33', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P56753', '3702.P56755', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.P93313', '3702.Q01667', '3702.Q07473', '3702.Q2V2S7', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8RXS1', '3702.Q8VZ87', '3702.Q94AQ8', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C5A9', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9FG89', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LU21', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Membrane protein complex,COMPARTMENTS,4.21e-70,"['3702.A0A1P8B2B4', '3702.A0A2P2CLG2', '3702.F4K8I1', '3702.O49344', '3702.O49347', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CJ48', '3702.P19366', '3702.P23321', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P49107', '3702.P54144', '3702.P56759', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q2V2S7', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q43349', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RXS1', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9LMQ2', '3702.Q9LU21', '3702.Q9LVM2', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3']"
Photosystem II,COMPARTMENTS,3.62e-66,"['3702.O49344', '3702.O49347', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P23321', '3702.P27202', '3702.P56761', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q07473', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q9LMQ2', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SGH4', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SW65', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3']"
Organelle membrane,COMPARTMENTS,1.89e-64,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CC32', '3702.P0CC33', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P56753', '3702.P56755', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.P93313', '3702.Q01667', '3702.Q07473', '3702.Q2V2S7', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q8LCA1', '3702.Q8RXS1', '3702.Q8VZ87', '3702.Q94AQ8', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C5A9', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9FG89', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LU21', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Membrane,COMPARTMENTS,2.17e-61,"['3702.A0A1P8B2B4', '3702.A0A2P2CLG2', '3702.A0A2P2CLG4', '3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CC32', '3702.P0CC33', '3702.P0CJ48', '3702.P19366', '3702.P21218', '3702.P23321', '3702.P25857', '3702.P26288', '3702.P26289', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P46422', '3702.P49107', '3702.P54144', '3702.P56753', '3702.P56755', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P93313', '3702.Q01667', '3702.Q07473', '3702.Q07488', '3702.Q2V2S7', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q43349', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RWS6', '3702.Q8RXS1', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q94C26', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C5A9', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9FG89', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LU21', '3702.Q9LUT2', '3702.Q9LVM2', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XI73', '3702.Q9XIE2', '3702.Q9ZR03']"
Photosystem I,COMPARTMENTS,2.84e-57,"['3702.A0A1P8B2B4', '3702.F4K8I1', '3702.P04778', '3702.P0CJ48', '3702.P26288', '3702.P27521', '3702.P49107', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P62090', '3702.Q01667', '3702.Q07473', '3702.Q39142', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q949Q5', '3702.Q9C639', '3702.Q9LMQ2', '3702.Q9S714', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89']"
Cytoplasm,COMPARTMENTS,9.49e-36,"['3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O49344', '3702.O49347', '3702.O65369', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CC32', '3702.P0CC33', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25857', '3702.P26289', '3702.P27202', '3702.P27521', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56751', '3702.P56752', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.P93313', '3702.Q01667', '3702.Q03250', '3702.Q07473', '3702.Q2V2S7', '3702.Q2V4B2', '3702.Q37165', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q43349', '3702.Q681Z2', '3702.Q84MD6', '3702.Q8GY23', '3702.Q8L9E3', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RXS1', '3702.Q8VZ87', '3702.Q940L5', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9CAC5', '3702.Q9FFD7', '3702.Q9FG67', '3702.Q9FG89', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LU21', '3702.Q9LUT2', '3702.Q9LVM2', '3702.Q9M1P5', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XI73', '3702.Q9XIE2', '3702.Q9ZR03', '3702.Q9ZVN4']"
Chloroplast thylakoid membrane protein complex,COMPARTMENTS,2.03e-31,"['3702.F4K8I1', '3702.P19366', '3702.P27521', '3702.P49107', '3702.P56778', '3702.P82538', '3702.Q01667', '3702.Q43349', '3702.Q8LCA1', '3702.Q96500', '3702.Q9LMQ2', '3702.Q9S713', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XF91']"
Intracellular membrane-bounded organelle,COMPARTMENTS,3.62e-30,"['3702.A0A1R7T3B3', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CC32', '3702.P0CC33', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25857', '3702.P26289', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56751', '3702.P56752', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.P93313', '3702.Q01667', '3702.Q03250', '3702.Q07473', '3702.Q2V2S7', '3702.Q2V4B2', '3702.Q37165', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q43349', '3702.Q681Z2', '3702.Q84MD6', '3702.Q8L9E3', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RXS1', '3702.Q8RY71', '3702.Q8VZ87', '3702.Q940L5', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9FFD7', '3702.Q9FG67', '3702.Q9FG89', '3702.Q9LE80', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LU21', '3702.Q9LVM2', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XI73', '3702.Q9XIE2', '3702.Q9ZR03', '3702.Q9ZVN4']"
Membrane-bounded organelle,COMPARTMENTS,4.76e-28,"['3702.A0A1R7T3B3', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O49344', '3702.O49347', '3702.O65369', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CC32', '3702.P0CC33', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25857', '3702.P26289', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56751', '3702.P56752', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56758', '3702.P56759', '3702.P56760', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56771', '3702.P56773', '3702.P56774', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.P93313', '3702.Q01667', '3702.Q03250', '3702.Q07473', '3702.Q2V2S7', '3702.Q2V4B2', '3702.Q37165', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q43349', '3702.Q681Z2', '3702.Q84MD6', '3702.Q8L9E3', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RXS1', '3702.Q8RY71', '3702.Q8VZ87', '3702.Q940L5', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q96500', '3702.Q9ASS6', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9FFD7', '3702.Q9FG67', '3702.Q9FG89', '3702.Q9LE80', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LU21', '3702.Q9LVM2', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S831', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SCY3', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XI73', '3702.Q9XIE2', '3702.Q9ZR03', '3702.Q9ZVN4']"
Protein-containing complex,COMPARTMENTS,9.34e-26,"['3702.A0A1P8B2B4', '3702.A0A2P2CLG2', '3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P09468', '3702.P0CJ48', '3702.P19366', '3702.P23321', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P37702', '3702.P49107', '3702.P54144', '3702.P56759', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56771', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q07473', '3702.Q2V2S7', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q43349', '3702.Q8GY23', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8RXS1', '3702.Q949Q5', '3702.Q94AQ8', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9CAC5', '3702.Q9LE80', '3702.Q9LMQ2', '3702.Q9LU21', '3702.Q9LVM2', '3702.Q9S713', '3702.Q9S714', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S829', '3702.Q9S841', '3702.Q9S9N6', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XI73', '3702.Q9ZR03']"
Light-harvesting complex,COMPARTMENTS,4.64e-25,"['3702.F4K8I1', '3702.P27521', '3702.P56778', '3702.Q01667', '3702.Q43349', '3702.Q8LCQ4', '3702.Q9LMQ2', '3702.Q9S713', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XF91']"
Thylakoid light-harvesting complex,COMPARTMENTS,1.12e-23,"['3702.F4K8I1', '3702.P27521', '3702.P56778', '3702.Q01667', '3702.Q43349', '3702.Q9LMQ2', '3702.Q9S713', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XF91']"
