Category,category,FDR,inputGenes
Intracellular organelle,COMPARTMENTS,6.68e-16,"['3702.A0A1P8AW96', '3702.A0A1R7T3B3', '3702.B3H6T0', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O65369', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q06402', '3702.Q06429', '3702.Q07473', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q43309', '3702.Q52T38', '3702.Q6NLG8', '3702.Q6R0H1', '3702.Q6S591', '3702.Q7X9H5', '3702.Q8L785', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9FG67', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LE80', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M2Y8', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9SPG2', '3702.Q9STF2', '3702.Q9STR4', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9T065', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZR03', '3702.Q9ZUA5']"
Protein-containing complex,COMPARTMENTS,3.95e-15,"['3702.F4K8I1', '3702.O03042', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P19366', '3702.P23321', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P37702', '3702.P49107', '3702.P54144', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q07473', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q8GY23', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8W493', '3702.Q949Q5', '3702.Q96253', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9LE80', '3702.Q9LMQ2', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
Organelle,COMPARTMENTS,4.55e-15,"['3702.A0A1P8AW96', '3702.A0A1R7T3B3', '3702.B3H6T0', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O65369', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56780', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P82538', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q06402', '3702.Q06429', '3702.Q07473', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q38833', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q43309', '3702.Q52T38', '3702.Q6NLG8', '3702.Q6R0H1', '3702.Q6S591', '3702.Q7X9H5', '3702.Q8L785', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9FG67', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LE80', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M2Y8', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9SPG2', '3702.Q9STF2', '3702.Q9STR4', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9T065', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8', '3702.Q9ZR03', '3702.Q9ZUA5']"
Intracellular,COMPARTMENTS,2.79e-12,"['3702.A0A1P8AW96', '3702.A0A1R7T3B3', '3702.B3H6T0', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O65369', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25860', '3702.P25863', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P32962', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q06402', '3702.Q06429', '3702.Q07473', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q38833', '3702.Q39084', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q3E9D5', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q43309', '3702.Q52T38', '3702.Q6NLG8', '3702.Q6R0H1', '3702.Q6S591', '3702.Q7X9H5', '3702.Q8GY23', '3702.Q8L785', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W493', '3702.Q944G9', '3702.Q949Q5', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LE80', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9M2Y8', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SK39', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9SPG2', '3702.Q9STF2', '3702.Q9STR4', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9T065', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8', '3702.Q9ZR03', '3702.Q9ZTA2', '3702.Q9ZUA5']"
Chloroplast envelope,COMPARTMENTS,1.39e-11,"['3702.O03042', '3702.O80860', '3702.O82660', '3702.P21218', '3702.P25697', '3702.P25856', '3702.P27521', '3702.P46283', '3702.P56766', '3702.P56767', '3702.Q01667', '3702.Q39102', '3702.Q42029', '3702.Q8LCA1', '3702.Q9FI56', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9S7N7', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SUI4', '3702.Q9ZR03']"
Cellular anatomical entity,COMPARTMENTS,1.81e-11,"['3702.A0A1P8AW96', '3702.A0A1R7T3B3', '3702.B3H6T0', '3702.F4I2N7', '3702.F4K8I1', '3702.O03042', '3702.O23530', '3702.O48646', '3702.O49344', '3702.O49347', '3702.O49506', '3702.O65369', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P25860', '3702.P25863', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P29381', '3702.P32961', '3702.P32962', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46010', '3702.P46014', '3702.P46283', '3702.P46422', '3702.P49107', '3702.P50318', '3702.P54144', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.P92973', '3702.P93002', '3702.Q01667', '3702.Q01908', '3702.Q01909', '3702.Q03250', '3702.Q06402', '3702.Q06429', '3702.Q07473', '3702.Q07488', '3702.Q1PE40', '3702.Q24JJ8', '3702.Q37001', '3702.Q38814', '3702.Q38833', '3702.Q39084', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q39194', '3702.Q39195', '3702.Q39214', '3702.Q41931', '3702.Q41932', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q43309', '3702.Q52T38', '3702.Q6NLG8', '3702.Q6R0H1', '3702.Q6S591', '3702.Q7X9H5', '3702.Q84W27', '3702.Q8GY23', '3702.Q8L5Y5', '3702.Q8L785', '3702.Q8L9V6', '3702.Q8LBY9', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8LPS2', '3702.Q8RWS6', '3702.Q8RX87', '3702.Q8RY71', '3702.Q8VYI3', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q940J8', '3702.Q944G9', '3702.Q949Q5', '3702.Q94C26', '3702.Q96253', '3702.Q96500', '3702.Q96528', '3702.Q9C4Z8', '3702.Q9C500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C639', '3702.Q9C7X0', '3702.Q9FF79', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9FI56', '3702.Q9FKU8', '3702.Q9FKW6', '3702.Q9FL89', '3702.Q9FMA3', '3702.Q9FN52', '3702.Q9LE80', '3702.Q9LJH5', '3702.Q9LKL2', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9LRR9', '3702.Q9LRS0', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9M2Y8', '3702.Q9M8W5', '3702.Q9S714', '3702.Q9S745', '3702.Q9S7H1', '3702.Q9S7H8', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SAR0', '3702.Q9SE33', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SI62', '3702.Q9SIV0', '3702.Q9SKI3', '3702.Q9SLJ2', '3702.Q9SPG2', '3702.Q9STF2', '3702.Q9STR4', '3702.Q9SU72', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SV91', '3702.Q9SW65', '3702.Q9SWA6', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9T065', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9XIE2', '3702.Q9XIF0', '3702.Q9ZQR8', '3702.Q9ZR03', '3702.Q9ZTA2', '3702.Q9ZUA5']"
Apoplast,COMPARTMENTS,1.95e-11,"['3702.O03042', '3702.P0CJ48', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25856', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P46422', '3702.Q1PE40', '3702.Q42029', '3702.Q42547', '3702.Q944G9', '3702.Q9C5C2', '3702.Q9LPW0', '3702.Q9LRR9', '3702.Q9SW65']"
PSII associated light-harvesting complex II,COMPARTMENTS,2.36e-11,"['3702.P56778', '3702.Q9LMQ2', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XF91']"
PSI associated light-harvesting complex I,COMPARTMENTS,2.97e-07,"['3702.F4K8I1', '3702.P27521', '3702.Q01667', '3702.Q9SY97', '3702.Q9SYW8']"
Photosystem II reaction center,COMPARTMENTS,2.97e-07,"['3702.P56778', '3702.P56779', '3702.P56782', '3702.P62095', '3702.P62100']"
Extracellular region,COMPARTMENTS,8.24e-06,"['3702.O03042', '3702.P0CJ48', '3702.P22953', '3702.P23321', '3702.P25697', '3702.P25851', '3702.P25856', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P46422', '3702.Q03250', '3702.Q1PE40', '3702.Q42029', '3702.Q42547', '3702.Q944G9', '3702.Q9C5C2', '3702.Q9FL89', '3702.Q9LPW0', '3702.Q9LRR9', '3702.Q9SW65']"
Oxidoreductase complex,COMPARTMENTS,9e-06,"['3702.O48646', '3702.O49344', '3702.P23321', '3702.P27202', '3702.P56780', '3702.P82538', '3702.Q41932', '3702.Q42029', '3702.Q9S841', '3702.Q9SGH4', '3702.Q9SW65', '3702.Q9XFT3']"
Photosystem I reaction center,COMPARTMENTS,9.69e-06,"['3702.Q9S714', '3702.Q9SA56', '3702.Q9SHE8', '3702.Q9SUI4']"
Chloroplast thylakoid lumen,COMPARTMENTS,1.34e-05,"['3702.O49344', '3702.O82660', '3702.P23321', '3702.P82538', '3702.Q9LR64', '3702.Q9SW65']"
Plasma membrane light-harvesting complex,COMPARTMENTS,2.69e-05,"['3702.P27521', '3702.Q01667', '3702.Q8LCQ4', '3702.Q9XF89']"
Chloroplast stromal thylakoid,COMPARTMENTS,6e-05,"['3702.O49347', '3702.O82660', '3702.P56778', '3702.P62090']"
Stromule,COMPARTMENTS,0.0002,"['3702.P19366', '3702.P25697', '3702.P25819', '3702.P25851', '3702.P25856', '3702.P25857', '3702.Q38814']"
Chloroplast ATP synthase complex,COMPARTMENTS,0.00031,"['3702.P19366', '3702.Q01908', '3702.Q01909']"
Chloroplast photosystem I,COMPARTMENTS,0.00031,"['3702.P49107', '3702.Q8LCA1', '3702.Q9S7N7']"
Peroxisome,COMPARTMENTS,0.0005,"['3702.O49506', '3702.P25819', '3702.P37702', '3702.Q24JJ8', '3702.Q42547', '3702.Q8VYI3', '3702.Q96528', '3702.Q9C5C2', '3702.Q9FMA3', '3702.Q9LJH5', '3702.Q9LRR9', '3702.Q9LRS0']"
Mitochondrial proton-transporting ATP synthase complex,COMPARTMENTS,0.002,"['3702.Q01908', '3702.Q01909', '3702.Q96253', '3702.Q9C5A9']"
"Mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",COMPARTMENTS,0.006,"['3702.Q01908', '3702.Q01909', '3702.Q9C5A9']"
Photosystem II antenna complex,COMPARTMENTS,0.0102,"['3702.Q9LMQ2', '3702.Q9XF89']"
B875 antenna complex,COMPARTMENTS,0.0102,"['3702.P27521', '3702.Q8LCQ4']"
interleukin-1 receptor complex,COMPARTMENTS,0.0161,"['3702.Q9S745', '3702.Q9SU72']"
Ribulose bisphosphate carboxylase complex,COMPARTMENTS,0.0232,"['3702.O03042', '3702.P83755']"
EDS1 disease-resistance complex,COMPARTMENTS,0.0232,"['3702.Q9S745', '3702.Q9SU72']"
Thioglucosidase complex,COMPARTMENTS,0.0309,"['3702.P37702', '3702.Q9C5C2']"
Cell wall,COMPARTMENTS,0.0375,"['3702.O03042', '3702.P19366', '3702.P22953', '3702.Q39191', '3702.Q41931', '3702.Q42547', '3702.Q940J8', '3702.Q96528', '3702.Q9FKU8', '3702.Q9LUT2']"
External encapsulating structure,COMPARTMENTS,0.0382,"['3702.O03042', '3702.P19366', '3702.P22953', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42547', '3702.Q940J8', '3702.Q96528', '3702.Q9FKU8', '3702.Q9LUT2']"
photosynthesis,Process,1.13e-118,"['3702.F4K8I1', '3702.O03042', '3702.O49344', '3702.O49347', '3702.O80634', '3702.O80860', '3702.O81208', '3702.O82660', '3702.P04778', '3702.P0CJ48', '3702.P16972', '3702.P21218', '3702.P23321', '3702.P25697', '3702.P25851', '3702.P25856', '3702.P25857', '3702.P27202', '3702.P27521', '3702.P46283', '3702.P49107', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56768', '3702.P56769', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P56780', '3702.P56781', '3702.P56782', '3702.P56790', '3702.P60129', '3702.P61839', '3702.P62090', '3702.P62095', '3702.P62100', '3702.P62109', '3702.P82538', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q39194', '3702.Q39195', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q8W0Y8', '3702.Q8W493', '3702.Q949Q5', '3702.Q9C639', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LPW0', '3702.Q9LR64', '3702.Q9S714', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9S841', '3702.Q9SA56', '3702.Q9SGH4', '3702.Q9SHE8', '3702.Q9SHR7', '3702.Q9SKI3', '3702.Q9SUI4', '3702.Q9SUI5', '3702.Q9SUI6', '3702.Q9SUI7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9SYX1', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XF91', '3702.Q9XFT3', '3702.Q9ZR03']"
"photosynthesis, light reaction",Process,3.4e-65,"['3702.F4K8I1', '3702.O80860', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P16972', '3702.P23321', '3702.P25851', '3702.P27202', '3702.P27521', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P62090', '3702.P62095', '3702.P62109', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q9C639', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SGH4', '3702.Q9SHR7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XFT3', '3702.Q9ZR03']"
generation of precursor metabolites and energy,Process,3.75e-53,"['3702.F4K8I1', '3702.O80860', '3702.O81208', '3702.P04778', '3702.P0CJ48', '3702.P11490', '3702.P16972', '3702.P19366', '3702.P23321', '3702.P25851', '3702.P26288', '3702.P27202', '3702.P27521', '3702.P42699', '3702.P50318', '3702.P56753', '3702.P56754', '3702.P56755', '3702.P56756', '3702.P56761', '3702.P56766', '3702.P56767', '3702.P56777', '3702.P56778', '3702.P56779', '3702.P62090', '3702.P62095', '3702.P62109', '3702.P83755', '3702.Q01667', '3702.Q01908', '3702.Q07473', '3702.Q07488', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q41932', '3702.Q42029', '3702.Q8LCA1', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q944G9', '3702.Q949Q5', '3702.Q96253', '3702.Q9C5A9', '3702.Q9C639', '3702.Q9FKW6', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S841', '3702.Q9SGH4', '3702.Q9SHR7', '3702.Q9SW65', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89', '3702.Q9XFT3', '3702.Q9ZR03']"
"photosynthesis, light harvesting",Process,1.3e-33,"['3702.F4K8I1', '3702.O80860', '3702.P04778', '3702.P0CJ48', '3702.P27521', '3702.Q01667', '3702.Q07473', '3702.Q39102', '3702.Q39141', '3702.Q39142', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q9C639', '3702.Q9LMQ2', '3702.Q9LR64', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89']"
"photosynthesis, light harvesting in photosystem I",Process,8.8e-32,"['3702.F4K8I1', '3702.P04778', '3702.P0CJ48', '3702.P27521', '3702.Q01667', '3702.Q07473', '3702.Q39141', '3702.Q39142', '3702.Q8LCQ4', '3702.Q8VZ87', '3702.Q949Q5', '3702.Q9C639', '3702.Q9LMQ2', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9SYW8', '3702.Q9XF87', '3702.Q9XF88', '3702.Q9XF89']"
